,Day,Location,TotalConfirmed,Discharged,Deaths,Active
0,2020-03-10,Delhi,4,0,0,4
1,2020-03-10,Haryana,14,0,0,14
2,2020-03-10,Karnataka,1,0,0,1
3,2020-03-10,Kerala,9,0,0,9
4,2020-03-10,Maharashtra,2,0,0,2
5,2020-03-10,Punjab,1,0,0,1
6,2020-03-10,Rajasthan,2,0,0,2
7,2020-03-10,Tamil Nadu,1,0,0,1
8,2020-03-10,Telangana,1,0,0,1
9,2020-03-10,Jammu and Kashmir,1,0,0,1
10,2020-03-10,Ladakh,2,0,0,2
11,2020-03-10,Uttar Pradesh,9,0,0,9
12,2020-03-11,Delhi,5,0,0,5
13,2020-03-11,Haryana,14,0,0,14
14,2020-03-11,Karnataka,4,0,0,4
15,2020-03-11,Kerala,17,0,0,17
16,2020-03-11,Maharashtra,2,0,0,2
17,2020-03-11,Punjab,1,0,0,1
18,2020-03-11,Rajasthan,3,0,0,3
19,2020-03-11,Tamil Nadu,1,0,0,1
20,2020-03-11,Telangana,1,0,0,1
21,2020-03-11,Jammu and Kashmir,1,0,0,1
22,2020-03-11,Ladakh,2,0,0,2
23,2020-03-11,Uttar Pradesh,9,0,0,9
24,2020-03-12,Delhi,6,0,0,6
25,2020-03-12,Haryana,14,0,0,14
26,2020-03-12,Karnataka,4,0,0,4
27,2020-03-12,Kerala,17,0,0,17
28,2020-03-12,Maharashtra,11,0,0,11
29,2020-03-12,Punjab,1,0,0,1
30,2020-03-12,Rajasthan,3,0,0,3
31,2020-03-12,Tamil Nadu,1,0,0,1
32,2020-03-12,Telangana,1,0,0,1
33,2020-03-12,Jammu and Kashmir,1,0,0,1
34,2020-03-12,Ladakh,3,0,0,3
35,2020-03-12,Uttar Pradesh,11,0,0,11
36,2020-03-13,Andhra Pradesh,1,0,0,1
37,2020-03-13,Delhi,7,1,1,5
38,2020-03-13,Haryana,14,0,0,14
39,2020-03-13,Karnataka,6,0,1,5
40,2020-03-13,Kerala,19,3,0,16
41,2020-03-13,Maharashtra,14,0,0,14
42,2020-03-13,Punjab,1,0,0,1
43,2020-03-13,Rajasthan,3,1,0,2
44,2020-03-13,Tamil Nadu,1,0,0,1
45,2020-03-13,Telangana,1,0,0,1
46,2020-03-13,Jammu and Kashmir,1,0,0,1
47,2020-03-13,Ladakh,3,0,0,3
48,2020-03-13,Uttar Pradesh,11,5,0,6
49,2020-03-14,Andhra Pradesh,1,0,0,1
50,2020-03-14,Delhi,7,1,1,5
51,2020-03-14,Haryana,14,0,0,14
52,2020-03-14,Karnataka,6,0,1,5
